Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Performance_Score
4028427053699127040,0.8855609966771218,2633.02381341,0.2642711669506095,6.623939780000001,29.75206611570248,36.0,121.0,0.5161296994475058
4017110277719148289,0.4712308465925302,2899.93302141,0.39402569727778675,0.0,56.74603174603175,143.0,252.0,0.4460606636006831
4031414524297538817,1.3301405105399107,2726.7956177399997,0.2982766332704787,17.582599899999998,36.885245901639344,90.0,244.0,0.42744088087797316
3998659472131949824,0.30740181541181216,1449.32593976,0.3824381523639125,0.0,48.97959183673469,72.0,147.0,0.29750491523842026
4040382575336130560,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0
4031181049693676544,0.7712237279978442,4545.2423384,0.21445398662938117,22.344964960000084,24.17218543046358,73.0,302.0,-0.2954649904105382
3943533600390906881,1.0608087437491676,2361.4245720499994,0.42807920222246326,32.30352141000003,54.80386583285958,964.0,1759.0,-0.46988916091307853
3886752488982104320,0.8994404782536423,7195.178324640001,0.2217135876666527,38.20810000000006,74.5396317053643,931.0,1249.0,-0.8914213579514424
3949329502284748801,0.8227625989486956,425.96505789,0.13607138346451803,44.74980000999997,18.75,72.0,384.0,-1.2587924265538621
4030635536196756737,0.27624763409257014,2581.61417484,0.09049923129812824,47.186786249999955,52.47295208655333,679.0,1294.0,-1.8641181288005808
4030395639953224449,0.4736511572014385,4413.76154738,0.16783749880260376,57.609999730000254,17.479674796747968,86.0,492.0,-2.149739016534995
3993014919980212480,0.46332619163843913,3078.6630103899997,0.14095234412741464,60.840000000000146,47.62589928057554,331.0,695.0,-2.305462582177464
4031673021422897664,0.4891923998604832,1984.7171999900002,0.26854565826741766,64.52999999999997,31.4410480349345,72.0,229.0,-2.4411173128331347
3865845304835489536,0.710571420923522,1406.06618669,0.24357476133916586,78.66142699000001,51.13378684807256,451.0,882.0,-2.87687621098499
3939925275039085824,0.6556841633425939,2378.8786707,0.22595328142597082,78.62181990000008,36.23481781376518,2148.0,5928.0,-2.925583097927393
3939318616482048768,1.0162799258193589,9775.389109840002,0.2038294609803751,87.00335997999991,37.46031746031746,118.0,315.0,-2.9773449256520124
4031173908980084736,0.5833533025575024,5360.425729910001,0.29563686687889357,80.89999999999964,37.77777777777778,85.0,225.0,-3.089551908963351
3672754654734989568,0.4763850357271092,566.59765978,0.18527447769074115,80.77703672000018,44.303797468354425,210.0,474.0,-3.186374661139439
4022641794255717633,1.847685980160385,2176.83382376,0.558737617842448,115.99559387999989,43.52280237937872,2634.0,6052.0,-3.509562343912863
3944088772635000577,0.7088427632933676,7581.491983399999,0.29914107625654696,97.2037250300009,45.75292759360053,2774.0,6063.0,-3.707945516207478
3975304792994095360,0.383252249554081,2536.0810463,0.26256500497746604,91.88800600000013,42.65791632485644,1040.0,2438.0,-3.7652543049658984
